shipment_id,export_country,import_country,commodity,hs_code,quantity,declared_value_usd,transport_mode,departure_port,arrival_port,transit_time_days,delay_status,contract_value_usd,payment_terms,currency_exchange_rate,market_price_per_unit,price_volatility_index,anomaly_flag
SHP00001,China,Nigeria,Electronics,260300,910,108694,Air,Guangzhou,Lagos,10,On-Time,109332,Credit,32.04,304.42,0.24,0
SHP00002,China,Nigeria,Agricultural,260300,3494,21023,Road,Beijing,Tema,5,On-Time,20792,Credit,50.96,2815.97,0.01,0
SHP00003,China,South Africa,Machinery,847130,1234,90305,Road,Shenzhen,Durban,24,On-Time,90161,Credit,21.45,1837.5,0.08,0
SHP00004,China,Tanzania,Textiles,260300,2797,128855,Ship,Beijing,Mombasa,17,On-Time,128541,Credit,43.86,1150.47,0.49,1
SHP00005,China,Tanzania,Minerals,847130,1578,16394,Road,Beijing,Lagos,39,On-Time,15414,On Delivery,32.36,44.73,0.47,1
SHP00006,China,Kenya,Machinery,100610,2111,73148,Rail,Beijing,Tema,4,On-Time,73538,On Delivery,48.3,1831.94,0.42,1
SHP00007,China,South Africa,Minerals,843890,84,85077,Ship,Shenzhen,Addis Ababa,19,On-Time,85972,On Delivery,53.24,1278.34,0.11,0
SHP00008,China,Ethiopia,Minerals,100610,3893,14692,Ship,Shenzhen,Cairo,20,On-Time,13853,Prepaid,28.57,2780.34,0.37,0
SHP00009,China,South Africa,Textiles,520942,3392,45397,Road,Shanghai,Tema,25,On-Time,46122,Credit,23.79,1169.09,0.14,0
SHP00010,China,Ghana,Agricultural,520942,1126,91807,Rail,Beijing,Mombasa,28,Delayed,90994,On Delivery,38.67,427.07,0.4,0
SHP00011,China,Tanzania,Minerals,520942,114,53984,Ship,Guangzhou,Tema,9,On-Time,54136,On Delivery,15.11,21.54,0.41,1
SHP00012,China,Kenya,Machinery,260300,441,18986,Road,Qingdao,Addis Ababa,37,On-Time,19782,Prepaid,64.95,1954.98,0.46,1
SHP00013,China,Tanzania,Electronics,260300,250,35535,Ship,Shenzhen,Durban,14,On-Time,35606,Credit,26.9,2008.18,0.34,0
SHP00014,China,Egypt,Machinery,843890,2781,15965,Air,Guangzhou,Durban,29,On-Time,16727,On Delivery,9.69,2141.17,0.38,0
SHP00015,China,Tanzania,Machinery,847130,552,142982,Rail,Guangzhou,Mombasa,16,On-Time,142374,Credit,50.18,337.12,0.23,0
SHP00016,China,Kenya,Electronics,100610,913,127096,Road,Shanghai,Addis Ababa,34,On-Time,126580,On Delivery,18.58,1234.1,0.38,0
SHP00017,China,Egypt,Agricultural,843890,1109,67623,Rail,Qingdao,Lagos,9,On-Time,67732,Prepaid,61.81,1874.94,0.15,0
SHP00018,China,Egypt,Electronics,100610,3110,7693,Air,Shenzhen,Lagos,30,Delayed,8272,Prepaid,30.03,2650.42,0.17,0
SHP00019,China,Kenya,Textiles,847130,2088,49262,Air,Shenzhen,Durban,35,On-Time,49568,Prepaid,30.76,2454.95,0.43,1
SHP00020,China,Kenya,Machinery,847130,759,26959,Road,Guangzhou,Cairo,29,On-Time,27659,Prepaid,48.93,811.89,0.13,0
SHP00021,China,Nigeria,Machinery,260300,3495,66087,Road,Guangzhou,Dar es Salaam,34,On-Time,66802,On Delivery,26.41,2915.49,0.48,1
SHP00022,China,Egypt,Agricultural,843890,3631,70318,Ship,Guangzhou,Tema,4,On-Time,70954,On Delivery,21.01,115.48,0.31,0
SHP00023,China,Nigeria,Electronics,520942,4787,117859,Rail,Shanghai,Dar es Salaam,25,On-Time,118107,On Delivery,44.95,2043.71,0.27,0
SHP00024,China,Egypt,Textiles,520942,2827,75467,Rail,Beijing,Cairo,13,On-Time,74867,Credit,51.38,1106.51,0.32,0
SHP00025,China,Tanzania,Textiles,260300,247,94045,Road,Shenzhen,Cairo,13,Delayed,93188,Credit,58.72,965.74,0.1,0
SHP00026,China,Tanzania,Minerals,260300,1844,54811,Road,Qingdao,Mombasa,38,On-Time,55797,On Delivery,56.95,1049.25,0.06,0
SHP00027,China,South Africa,Agricultural,847130,538,89896,Rail,Shanghai,Addis Ababa,20,Delayed,90698,Prepaid,24.86,344.85,0.46,1
SHP00028,China,Egypt,Minerals,843890,4111,35306,Road,Shenzhen,Durban,9,On-Time,34651,Prepaid,68.78,1552.32,0.14,1
SHP00029,China,Ethiopia,Agricultural,260300,3773,25932,Rail,Shenzhen,Cairo,39,Delayed,25946,Prepaid,24.72,1050.88,0.37,1
SHP00030,China,Nigeria,Electronics,260300,1204,9499,Ship,Guangzhou,Addis Ababa,26,On-Time,10195,Credit,45.48,257.0,0.09,0
SHP00031,China,South Africa,Electronics,843890,1495,131063,Air,Qingdao,Cairo,27,On-Time,131947,On Delivery,20.95,919.56,0.25,0
SHP00032,China,Egypt,Electronics,843890,3284,55108,Road,Guangzhou,Addis Ababa,38,On-Time,54908,On Delivery,35.33,540.57,0.19,0
SHP00033,China,South Africa,Machinery,260300,1268,91416,Ship,Qingdao,Tema,35,On-Time,91370,Credit,26.69,799.28,0.13,0
SHP00034,China,Tanzania,Textiles,847130,3486,81213,Road,Shenzhen,Addis Ababa,10,On-Time,80438,Credit,25.48,1937.08,0.34,0
SHP00035,China,Tanzania,Electronics,260300,4598,98179,Road,Qingdao,Tema,21,On-Time,98394,On Delivery,45.71,535.45,0.47,1
